id,name,cause_area,intervention_area,cost_effectiveness,image_path,url,description
Against Malaria Foundation,Against Malaria Foundation,Global Health and Development,Global Health and Development,13,malaria.jpg,https://www.givingwhatwecan.org/charities/against-malaria-foundation,"Against Malaria Foundation (AMF) works to prevent malaria-caused deaths and illness by distributing long-lasting insecticide-treated mosquito nets in at-risk, low-income communities. The organisation also consistently monitors its impact through surveys and case rate data."
Family Empowerment Media,Family Empowerment Media,Global Health and Development,Global Health and Development,13,Family-Empowerment-Media.png,https://www.givingwhatwecan.org/charities/family-empowerment-media,Family Empowerment Media (FEM) is an evidence-driven nonprofit committed to eliminating maternal deaths and other health burdens from unintended pregnancies. FEM produces and air radio-based social and behavioural change campaigns on family planning to empower women and men who want to delay or prevent pregnancy to consistently use contraception.
Helen Keller International — Vitamin A supplementation,Helen Keller International — Vitamin A supplementation,Global Health and Development,Global Health and Development,13,HelenKeller.jpg,https://www.givingwhatwecan.org/charities/helen-keller-international,Helen Keller International partners with governments across Africa and Asia to provide millions of children every year with lifesaving vitamin A supplements and other nutrients.
Iodine Global Network,Iodine Global Network,Global Health and Development,Global Health and Development,13,iodine.jpg,https://www.givingwhatwecan.org/charities/iodine-global-network,The Iodine Global Network (IGN) is a nonprofit organisation working to ensure all people attain optimal iodine nutrition and children can reach their full cognitive potential.
Lead Exposure Elimination Project,Lead Exposure Elimination Project,Global Health and Development,Global Health and Development,13,lead_exposure.jpg,https://www.givingwhatwecan.org/charities/leep,Lead Exposure Elimination Project (LEEP) drives effective policies to eliminate lead poisoning across the globe. Its current focus is on ending the sale and manufacture of lead paint worldwide.
Malaria Consortium SMC programme,Malaria Consortium SMC programme,Global Health and Development,Global Health and Development,13,malaria_consortium.jpg,https://www.givingwhatwecan.org/charities/malaria-consortium,Malaria Consortium's seasonal malaria chemoprevention (SMC) programme distributes preventative antimalarial drugs to young children during times of peak malaria transmission.
New Incentives,New Incentives,Global Health and Development,Global Health and Development,13,new_incentives.jpg,https://www.givingwhatwecan.org/charities/new-incentives,"New Incentives distributes conditional cash transfers to encourage caregivers to immunise their infants in rural Nigeria, helping them overcome barriers like the cost of transportation to a clinic and the loss of earnings from missing work."
StrongMinds,StrongMinds,Global Health and Development,Global Health and Development,13,strong_minds.jpg,https://www.givingwhatwecan.org/charities/strongminds,"StrongMinds is scaling effective depression treatment in sub-Saharan Africa, leveraging existing government and NGO infrastructure to bring proven therapy to its patients’ communities"
Suvita,Suvita,Global Health and Development,Global Health and Development,13,suvita.jpg,https://www.givingwhatwecan.org/charities/suvita,Suvita sends text message reminders to caregivers in India to remind them to get their children vaccinated. It also builds a network of ambassadors who share information with new parents in their community about local vaccine clinics.
Teaching at the Right Level Africa,Teaching at the Right Level Africa,Global Health and Development,Global Health and Development,13,tarl.jpg,https://www.givingwhatwecan.org/charities/tarl-africa,Teaching at the Right Level (TaRL) Africa is a nonprofit organisation that supports governments and organisations across sub-Saharan Africa to effectively apply the evidence-backed TaRL approach to improve foundational skills.
