id,name,cause_area,intervention_area,cost_effectiveness,image_path,description
Against Malaria Foundation,Against Malaria Foundation,Human wellbeing,Global Health,15,malaria.jpg,"Against Malaria Foundation (AMF) works to prevent malaria-caused deaths and illness by distributing long-lasting insecticide-treated mosquito nets in at-risk, low-income communities. The organisation also consistently monitors its impact through surveys and case rate data."
Family Empowerment Media,Family Empowerment Media,Human wellbeing,Global Health,15,Family-Empowerment-Media.png,Family Empowerment Media (FEM) is an evidence-driven nonprofit committed to eliminating maternal deaths and other health burdens from unintended pregnancies. FEM produces and air radio-based social and behavioural change campaigns on family planning to empower women and men who want to delay or prevent pregnancy to consistently use contraception.
Helen Keller International — Vitamin A supplementation,Helen Keller International — Vitamin A supplementation,Human wellbeing,Global Health,15,HelenKeller.jpg,Helen Keller International partners with governments across Africa and Asia to provide millions of children every year with lifesaving vitamin A supplements and other nutrients.
Iodine Global Network,Iodine Global Network,Human wellbeing,Global Health,15,iodine.jpg,The Iodine Global Network (IGN) is a nonprofit organisation working to ensure all people attain optimal iodine nutrition and children can reach their full cognitive potential.
Lead Exposure Elimination Project,Lead Exposure Elimination Project,Human wellbeing,Global Health,15,lead_exposure.jpg,Lead Exposure Elimination Project (LEEP) drives effective policies to eliminate lead poisoning across the globe. Its current focus is on ending the sale and manufacture of lead paint worldwide.
Malaria Consortium SMC programme,Malaria Consortium SMC programme,Human wellbeing,Global Health,15,malaria_consortium.jpg,Malaria Consortium's seasonal malaria chemoprevention (SMC) programme distributes preventative antimalarial drugs to young children during times of peak malaria transmission.
New Incentives,New Incentives,Human wellbeing,Global Health,15,new_incentives.jpg,"New Incentives distributes conditional cash transfers to encourage caregivers to immunise their infants in rural Nigeria, helping them overcome barriers like the cost of transportation to a clinic and the loss of earnings from missing work."
StrongMinds,StrongMinds,Human wellbeing,Global Health,15,strong_minds.jpg,"StrongMinds is scaling effective depression treatment in sub-Saharan Africa, leveraging existing government and NGO infrastructure to bring proven therapy to its patients’ communities"
Suvita,Suvita,Human wellbeing,Global Health,15,suvita.jpg,Suvita sends text message reminders to caregivers in India to remind them to get their children vaccinated. It also builds a network of ambassadors who share information with new parents in their community about local vaccine clinics.
Teaching at the Right Level Africa,Teaching at the Right Level Africa,Human wellbeing,Education,15,,Teaching at the Right Level (TaRL) Africa is a nonprofit organisation that supports governments and organisations across sub-Saharan Africa to effectively apply the evidence-backed TaRL approach to improve foundational skills.
Faunalytics,Faunalytics,Animal welfare,Animal welfare,15,faunalytics.jpg,"Faunalytics maintains the largest database of animal advocacy research, works with animal advocacy organisations on projects to improve their impact, and produces original animal advocacy research."
Good Food Institute,Good Food Institute,Animal welfare,Animal welfare,15,gfi.jpg,The Good Food Institute (GFI) is an international nonprofit working to improve the food system by developing and promoting plant- and cell-based alternatives to animal products.
The Humane League,The Humane League,Animal welfare,Animal welfare,15,THL.jpg,"The Humane League exists to end the abuse of animals raised for food. It does this by influencing the policies of the world’s biggest companies, demanding legislation, and empowering others to take action and leave animals off their plates."
Johns Hopkins Center For Health Security,Johns Hopkins Center For Health Security,Creating a better future,,15,johns_hopkins.jpg,The Johns Hopkins Center for Health Security (CHS) conducts independent research and analysis aimed at preventing and responding to public health crises.
Nuclear Threat Initiative - Biosecurity programme,Nuclear Threat Initiative - Biosecurity programme,Creating a better future,Nuclear Security,15,nuclear_security.jpg,The Nuclear Threat Initiative's programme on biological risk helps create a better future by reducing the risks of and preparing for potentially catastrophic natural and engineered pandemics.
Doneer Effectief,Doneer Effectief,Multiple cause areas,,,,
Effective Altruism Australia,Effective Altruism Australia,Multiple cause areas,,,,
Effektiv Spenden,Effective Altruism Australia,Multiple cause areas,,,,
The Life You Can Save,Effective Altruism Australia,Multiple cause areas,,,,
Cool Earth,Cool Earth,Climate Change,Climate Change,15,cool_earth.png,Cool Earth is the charity that backs people to protect rainforest and fight climate change. Join our radically optimistic rainforest revolution now.
0,0,Animal welfare,a,10,THL.jpg,a
1,1,Animal welfare,a,10,THL.jpg,a
2,2,Animal welfare,a,10,THL.jpg,a
3,3,Animal welfare,a,10,THL.jpg,a
4,4,Animal welfare,a,10,THL.jpg,a
5,5,Animal welfare,a,10,THL.jpg,a
6,6,Animal welfare,a,10,THL.jpg,a
7,7,Animal welfare,a,10,THL.jpg,a
8,8,Animal welfare,a,10,THL.jpg,a
9,9,Animal welfare,a,10,THL.jpg,a
10,10,Animal welfare,a,10,THL.jpg,a
11,11,Animal welfare,a,10,THL.jpg,a
12,12,Animal welfare,a,10,THL.jpg,a
13,13,Animal welfare,a,10,THL.jpg,a
14,14,Animal welfare,a,10,THL.jpg,a
15,15,Animal welfare,a,10,THL.jpg,a
16,16,Animal welfare,a,10,THL.jpg,a
17,17,Animal welfare,a,10,THL.jpg,a
18,18,Animal welfare,a,10,THL.jpg,a
19,19,Animal welfare,a,10,THL.jpg,a
20,20,Animal welfare,a,10,THL.jpg,a
21,21,Animal welfare,a,10,THL.jpg,a
22,22,Animal welfare,a,10,THL.jpg,a
23,23,Animal welfare,a,10,THL.jpg,a
24,24,Animal welfare,a,10,THL.jpg,a
25,25,Animal welfare,a,10,THL.jpg,a
26,26,Animal welfare,a,10,THL.jpg,a
27,27,Animal welfare,a,10,THL.jpg,a
28,28,Animal welfare,a,10,THL.jpg,a
29,29,Animal welfare,a,10,THL.jpg,a
30,30,Animal welfare,a,10,THL.jpg,a
31,31,Animal welfare,a,10,THL.jpg,a
32,32,Animal welfare,a,10,THL.jpg,a
33,33,Animal welfare,a,10,THL.jpg,a
34,34,Animal welfare,a,10,THL.jpg,a
35,35,Animal welfare,a,10,THL.jpg,a
36,36,Animal welfare,a,10,THL.jpg,a
37,37,Animal welfare,a,10,THL.jpg,a
38,38,Animal welfare,a,10,THL.jpg,a
39,39,Animal welfare,a,10,THL.jpg,a
40,40,Animal welfare,a,10,THL.jpg,a
41,41,Animal welfare,a,10,THL.jpg,a
